supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.675,0.75,0.88; vcc_ff_c#0.675,0.75,0.88; vcc_tt_h#0.675,0.75,0.935; vcc_tt_c#0.69,0.78,0.935; vcc_ss_h#0.69,0.75,0.935; vcc_ss_c#0.69,0.78,0.935
vccana: 0.715,0.75,0.785
vccn: 0.99,1.1,1.188
vcctx: "0.5*vcn","0.5*vcn","0.5*vcn"

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
SSAG	typical	125	min	min	-3.20776917e-04	-1.41667349e-04	-1.29683564e-04	-1.53447936e-04	3.08625698e+03	2.44587058e+03	4.20797998e+03	9.81054855e-01	8.94514507e-03	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	min	max	-3.83821682e-04	-1.68140749e-04	-1.56273826e-04	-1.79765931e-04	3.09518731e+03	2.47292820e+03	4.25674909e+03	1.17955662e+00	8.44337511e-03	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	max	min	-3.21382595e-04	-1.41747025e-04	-1.29715629e-04	-1.53523266e-04	3.08044062e+03	2.44449575e+03	4.20033292e+03	9.79114321e-01	1.08856791e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	max	max	-3.84366153e-04	-1.67935923e-04	-1.55701240e-04	-1.79720266e-04	3.09080285e+03	2.47594435e+03	4.16336601e+03	1.17656021e+00	1.14397890e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	nom	nom	-3.53612006e-04	-1.54621696e-04	-1.42554035e-04	-1.66487763e-04	3.11075410e+03	2.48994812e+03	4.17820416e+03	1.09082909e+00	9.17091248e-03	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	min	min	-1.21073726e-04	-4.20354004e-05	-3.59634742e-05	-4.81215920e-05	8.17683595e+03	8.24305220e+03	8.22495730e+03	9.88139659e-01	1.86034101e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	min	max	-1.48149550e-04	-5.20924110e-05	-4.58373683e-05	-5.83730552e-05	8.01892413e+03	7.98196882e+03	7.97722538e+03	1.18627553e+00	1.72447016e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	max	min	-1.21205231e-04	-4.20325252e-05	-3.59596221e-05	-4.81175994e-05	8.16796431e+03	8.24361606e+03	8.22505242e+03	9.86910928e-01	3.08907241e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	max	max	-1.48280936e-04	-5.20702753e-05	-4.57907403e-05	-5.83657954e-05	8.01181886e+03	7.98536204e+03	7.95225144e+03	1.18499090e+00	3.00910287e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	nom	nom	-1.35625924e-04	-4.71603291e-05	-4.10215049e-05	-5.33179868e-05	8.11054384e+03	8.16364108e+03	8.13240736e+03	1.09787188e+00	2.12811793e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	125	min	min	-6.24231193e-04	-2.62436394e-04	-2.38579647e-04	-2.86110297e-04	1.58595086e+03	1.32031992e+03	2.10390558e+03	9.76967934e-01	1.30320662e-02	1.25000000e+02	1.00000000e+00																																																																																									
