supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
FFAG	typical	125	max	min	-3.88291571e-04	-1.44822131e-04	-1.27238109e-04	-1.60919718e-04	2.54963042e+03	2.39259011e+03	2.96897935e+03	9.55796434e-01	3.42035657e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	max	max	-4.87284340e-04	-1.96766533e-04	-1.76901778e-04	-2.16335933e-04	2.43800160e+03	2.11316424e+03	2.53587275e+03	1.15776099e+00	3.02390054e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	nom	nom	-4.38883703e-04	-1.71689897e-04	-1.53181227e-04	-1.89569048e-04	2.50635873e+03	2.24241500e+03	2.74817227e+03	1.06987410e+00	3.01258980e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	-40	min	min	-1.17194022e-04	-4.07747441e-05	-3.48631433e-05	-4.66907723e-05	8.44752989e+03	8.49790740e+03	8.45477989e+03	9.89413442e-01	5.86558111e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	min	max	-1.42187589e-04	-4.99958979e-05	-4.39864950e-05	-5.60163634e-05	8.35515958e+03	8.31668232e+03	8.31264288e+03	1.18739491e+00	6.05094808e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	max	min	-1.17253099e-04	-4.07723028e-05	-3.48604194e-05	-4.66885019e-05	8.44327362e+03	8.49841624e+03	8.45445579e+03	9.88683772e-01	1.31622757e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	max	max	-1.42246642e-04	-4.99842888e-05	-4.39564739e-05	-5.60121152e-05	8.35169098e+03	8.31861390e+03	8.29487191e+03	1.18664650e+00	1.35350201e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	nom	nom	-1.30731790e-04	-4.56111065e-05	-3.96640214e-05	-5.15602551e-05	8.41417377e+03	8.44092654e+03	8.40602185e+03	1.09909977e+00	9.00228135e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	125	min	min	-2.20775110e-04	-8.17176056e-05	-7.22787575e-05	-9.06610495e-05	4.48420113e+03	4.24021234e+03	5.44001804e+03	9.66186311e-01	2.38136890e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	min	max	-2.73929106e-04	-1.07695654e-04	-9.76620651e-05	-1.17667575e-04	4.33688854e+03	3.86088004e+03	4.99862291e+03	1.16679178e+00	2.12082249e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	max	min	-2.20897521e-04	-8.16556965e-05	-7.21255692e-05	-9.06371662e-05	4.48171622e+03	4.24342716e+03	5.40201908e+03	9.63171422e-01	2.68285780e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	max	max	-2.74051323e-04	-1.07148784e-04	-9.66419540e-05	-1.17417160e-04	4.33495445e+03	3.88058532e+03	4.81343006e+03	1.16411247e+00	2.38875323e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	nom	nom	-2.47184943e-04	-9.39789210e-05	-8.40401068e-05	-1.03613553e-04	4.45010924e+03	4.09666334e+03	5.10896245e+03	1.07586350e+00	2.41364990e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	-40	min	min	-1.17239157e-04	-4.07811334e-05	-3.48718400e-05	-4.66935070e-05	8.44427770e+03	8.49657602e+03	8.45904391e+03	9.89307593e-01	6.92406830e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	min	max	-1.42202948e-04	-5.00055648e-05	-4.40182898e-05	-5.60020115e-05	8.35425718e+03	8.31507457e+03	8.34465306e+03	1.18731640e+00	6.83595674e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	max	min	-1.17304457e-04	-4.07786337e-05	-3.48692007e-05	-4.66913581e-05	8.43957704e+03	8.49709684e+03	8.45869303e+03	9.88511176e-01	1.48882436e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	max	max	-1.42268221e-04	-4.99962726e-05	-4.39916952e-05	-5.59982960e-05	8.35042425e+03	8.31661999e+03	8.32875198e+03	1.18652171e+00	1.47829286e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	nom	nom	-1.30771023e-04	-4.56225703e-05	-3.96829809e-05	-5.15617450e-05	8.41164945e+03	8.43880557e+03	8.41838418e+03	1.09898079e+00	1.01921080e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	125	min	min	-2.30697489e-04	-8.50978955e-05	-7.59921749e-05	-9.37542302e-05	4.29133410e+03	4.07178107e+03	5.62997909e+03	9.65854930e-01	2.41450696e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	min	max	-2.80750710e-04	-1.09052620e-04	-9.96867942e-05	-1.18331682e-04	4.23151200e+03	3.81283825e+03	5.36340037e+03	1.16615523e+00	2.18447747e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	max	min	-2.30831604e-04	-8.50530844e-05	-7.58818558e-05	-9.37361761e-05	4.28884080e+03	4.07392633e+03	5.60088530e+03	9.63506230e-01	2.64937704e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	max	max	-2.80884649e-04	-1.08645420e-04	-9.88906785e-05	-1.18149897e-04	4.22949423e+03	3.82712866e+03	5.19231871e+03	1.16397001e+00	2.40299904e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	125	nom	nom	-2.55514124e-04	-9.63493183e-05	-8.69558843e-05	-1.05438420e-04	4.30504577e+03	3.99587674e+03	5.41051311e+03	1.07563162e+00	2.43683772e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	min	min	-1.18453453e-04	-4.11783473e-05	-3.51899453e-05	-4.71770192e-05	8.35771332e+03	8.41461649e+03	8.34231950e+03	9.87592406e-01	2.40759364e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	min	max	-1.44669126e-04	-5.11747893e-05	-4.50026043e-05	-5.73705030e-05	8.21184199e+03	8.12509452e+03	8.08544789e+03	1.18585458e+00	2.14541601e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	max	min	-1.18515590e-04	-4.11713599e-05	-3.51734884e-05	-4.71739628e-05	8.35333139e+03	8.41604458e+03	8.33300390e+03	9.86724988e-01	3.27501216e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	max	max	-1.44731234e-04	-5.11256868e-05	-4.49273433e-05	-5.73448955e-05	8.20831806e+03	8.13289809e+03	8.05311695e+03	1.18504114e+00	2.95885609e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	-40	nom	nom	-1.32397803e-04	-4.62471722e-05	-4.01912515e-05	-5.23163283e-05	8.30829495e+03	8.32483332e+03	8.24737039e+03	1.09727799e+00	2.72200547e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG_SSG	typical	125	min	min	-3.75864569e-04	-1.38534095e-04	-1.23708861e-04	-1.52370673e-04	2.63392744e+03	2.50118933e+03	3.48896293e+03	9.57003700e-01	3.29963001e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	125	min	max	-4.59004957e-04	-1.84174506e-04	-1.68610435e-04	-1.99460234e-04	2.58820734e+03	2.25764146e+03	3.24151228e+03	1.15797883e+00	3.00211699e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	125	max	min	-3.75980790e-04	-1.38147616e-04	-1.22792049e-04	-1.52218496e-04	2.63311325e+03	2.50818661e+03	3.39830361e+03	9.53090462e-01	3.69095385e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	125	max	max	-4.59120645e-04	-1.81536243e-04	-1.64777482e-04	-1.98025151e-04	2.58755518e+03	2.29045172e+03	3.00772969e+03	1.15469100e+00	3.33089965e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	125	nom	nom	-4.18363464e-04	-1.60557578e-04	-1.44706825e-04	-1.75873852e-04	2.62929270e+03	2.39789367e+03	3.20851903e+03	1.06669524e+00	3.33047571e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	min	min	-1.51697164e-04	-5.28310250e-05	-4.51792362e-05	-6.04875737e-05	6.52616026e+03	6.55864617e+03	6.53238801e+03	9.89544100e-01	4.55900143e-04	-4.00000000e+01	1.00000000e+00																																																																																									
