supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
SSG	typical	-40	max	max	-4.82646353e-04	-1.65413760e-04	-1.45401558e-04	-1.85472774e-04	2.46142956e+03	2.51369656e+03	2.49555694e+03	1.18754811e+00	4.51892370e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	nom	nom	-4.43943957e-04	-1.52299965e-04	-1.32409251e-04	-1.72234640e-04	2.47779023e+03	2.52790603e+03	2.51096104e+03	1.09971763e+00	2.82369868e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	125	min	min	-5.03524714e-04	-1.78693054e-04	-1.55135214e-04	-2.01826540e-04	1.96613984e+03	1.93907929e+03	2.14172540e+03	9.72491785e-01	1.75082146e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	min	max	-6.17306997e-04	-2.24440457e-04	-2.00228448e-04	-2.48655936e-04	1.92448815e+03	1.85260717e+03	2.06494295e+03	1.17154118e+00	1.64588191e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	max	min	-5.03646548e-04	-1.78630951e-04	-1.54981676e-04	-2.01802566e-04	1.96566422e+03	1.93975343e+03	2.13579879e+03	9.70484653e-01	1.95153469e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	max	max	-6.17428525e-04	-2.23892071e-04	-1.99206786e-04	-2.48404597e-04	1.92410935e+03	1.85714482e+03	2.03261076e+03	1.16961769e+00	1.83823096e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	nom	nom	-5.63514251e-04	-2.01973799e-04	-1.77866945e-04	-2.25829348e-04	1.95203582e+03	1.90618784e+03	2.08496644e+03	1.08187945e+00	1.81205545e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	-40	min	min	-3.96858853e-04	-1.36524045e-04	-1.16730575e-04	-1.56357877e-04	2.49458968e+03	2.53801446e+03	2.52351273e+03	9.89788059e-01	2.11940827e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	min	max	-4.82603651e-04	-1.65436825e-04	-1.45463478e-04	-1.85464689e-04	2.46164736e+03	2.51334611e+03	2.49992430e+03	1.18776868e+00	2.31324483e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	max	min	-3.96923824e-04	-1.36521548e-04	-1.16727936e-04	-1.56355728e-04	2.49418135e+03	2.53806088e+03	2.52348152e+03	9.89543284e-01	4.56716130e-04	-4.00000000e+01	1.00000000e+00																																																																																									
